""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"label"
"9559196"	0.457575757575758	0.706060606060606	0.418181818181818	0.189393939393939	0.162121212121212	0.0106060606060606	0.0257575757575758	0.0196969696969697	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559229"	0.388232104121475	0.595932754880694	0.358622559652928	0.397776572668113	0.256399132321041	0.00244034707158351	0.000379609544468547	0.000162689804772234	0	0	0	0	0	0	1e-05	1e-05	"c"
"9559230"	0.394071856287425	0.617724550898204	0.383892215568862	0.356706586826347	0.242694610778443	0.00215568862275449	0.00173652694610778	0.000718562874251497	5.98802395209581e-05	5.98802395209581e-05	0.000119760479041916	0	1e-05	1e-05	1e-05	1e-05	"c"
"9559237"	0.406896551724138	0.772413793103448	0.455172413793103	0.137931034482759	0.213793103448276	0.00689655172413793	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559249"	0.387341772151899	0.79746835443038	0.546835443037975	0.0405063291139241	0.222784810126582	0	0.00253164556962025	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559257"	0.494117647058824	1.10196078431373	0.142483660130719	0.230065359477124	0.0300653594771242	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559258"	0.316666666666667	1.13333333333333	0.15	0.133333333333333	0.0833333333333333	0.05	0.116666666666667	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559259"	0.512087912087912	1.04835164835165	0.178021978021978	0.175824175824176	0.0791208791208791	0	0.0043956043956044	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559266"	0.493742017879949	0.872413793103448	0.26117496807152	0.271902937420179	0.0722860791826309	0.0106002554278416	0.00996168582375479	0.00498084291187739	0.00191570881226054	0.000510855683269476	0.000127713920817369	0	0.000127713920817369	1e-05	1e-05	1e-05	"c"
"9559268"	0.513725490196078	0.959477124183007	0.171241830065359	0.299346405228758	0.0457516339869281	0.00392156862745098	0.00261437908496732	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
